impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
64,-1,6,1,-1,-1,233065.000,233166.000,233664.996,99.996,2.700,2.709,1.366,0.4725,0.2840,0.1885,190.620,0.523735,1,1,1,1,20,18,100,0.001102,0.000312,0.654319,68.634,10.988,88.025,99.262,0.059114,0.569889,0.044126,0.013500,0.241135,57.735,42.265
65,-1,6,1,-1,-1,235065.000,235166.000,235664.992,99.992,2.700,2.705,1.357,0.4676,0.2807,0.1868,190.620,0.524536,1,1,1,1,20,18,100,0.001124,0.000722,0.667901,59.700,10.558,88.429,98.861,0.059813,0.563260,0.048206,0.009545,0.246499,58.104,41.896
66,-1,6,1,-1,-1,242065.000,242166.000,242664.984,99.984,2.800,2.823,1.414,0.4907,0.2916,0.1991,190.370,0.530661,1,1,1,1,20,18,100,0.001009,0.000420,0.702353,66.930,10.484,88.319,98.982,0.062704,0.602550,0.051596,0.035455,0.247704,57.192,42.808
67,-1,6,1,-1,-1,244065.000,244166.000,244665.000,100.000,2.800,2.817,1.394,0.4897,0.2920,0.1976,190.620,0.531318,1,1,1,1,20,18,100,0.001075,0.000511,0.698769,68.175,11.470,88.429,99.327,0.062332,0.599387,0.050947,0.022500,0.247571,57.259,42.741
68,-1,6,1,-1,-1,246065.000,246166.000,246664.984,99.984,2.800,2.827,1.413,0.4917,0.2928,0.1989,190.620,0.530964,1,1,1,1,20,18,100,0.001096,0.000245,0.688615,66.546,10.547,88.122,99.083,0.062048,0.599639,0.046131,0.031500,0.243198,57.303,42.697
69,-1,6,1,-1,-1,248065.000,248167.000,248665.000,100.000,2.800,2.822,1.400,0.4888,0.2913,0.1975,190.620,0.529904,1,1,1,1,20,18,100,0.000978,0.000419,0.695909,67.992,11.324,88.279,99.148,0.062728,0.601972,0.049392,0.027647,0.246109,57.325,42.675
70,-1,6,1,-1,-1,250065.000,250167.000,250665.004,100.004,2.800,2.822,1.415,0.4905,0.2922,0.1984,190.370,0.529940,1,1,1,1,20,18,100,0.000933,0.000375,0.696481,67.087,10.849,88.241,99.180,0.063930,0.601958,0.048178,0.026500,0.246411,57.231,42.769
71,-1,6,1,-1,-1,257065.000,257167.000,257665.004,100.004,2.900,2.936,1.476,0.5125,0.3026,0.2099,190.370,0.536592,1,1,1,1,20,18,100,0.001022,0.000391,0.739802,66.248,11.078,87.873,98.934,0.066091,0.639742,0.051742,0.050000,0.250780,56.835,43.165
72,-1,6,1,-1,-1,259065.000,259167.000,259665.012,100.012,2.900,2.932,1.459,0.5123,0.3032,0.2091,190.620,0.536291,1,1,1,1,20,18,100,0.000885,0.000506,0.739081,67.834,11.381,88.152,98.985,0.065651,0.629758,0.055878,0.037500,0.251602,56.925,43.075
73,-1,6,1,-1,-1,261065.000,261167.000,261664.992,99.992,2.900,2.936,1.479,0.5156,0.3049,0.2107,190.620,0.534938,1,1,1,1,20,18,100,0.001144,0.000400,0.731585,66.708,11.275,88.022,99.148,0.065441,0.627799,0.050710,0.041000,0.248754,56.943,43.057
74,-1,6,1,-1,-1,263065.000,263166.000,263665.000,100.000,2.900,2.933,1.469,0.5101,0.3010,0.2091,190.370,0.536673,1,1,1,1,20,18,100,0.000944,0.000475,0.734077,67.547,10.807,88.289,98.785,0.065706,0.635080,0.051715,0.038000,0.249856,56.779,43.221
75,-1,6,1,-1,-1,265065.000,265166.000,265665.000,100.000,2.900,2.928,1.458,0.5113,0.3024,0.2088,190.620,0.536849,1,1,1,1,20,18,100,0.001145,0.000604,0.728380,66.554,11.097,87.928,99.227,0.066092,0.631055,0.050108,0.034000,0.248255,56.876,43.124
76,-1,6,1,-1,-1,272065.000,272166.000,272664.988,99.988,3.000,3.018,1.511,0.5281,0.3107,0.2174,190.620,0.542164,1,1,1,1,20,18,100,0.000885,0.000497,0.757038,66.428,10.917,88.355,99.263,0.068411,0.655892,0.052509,0.036000,0.249354,56.612,43.388
77,-1,6,1,-1,-1,274065.000,274166.000,274664.984,99.984,3.000,3.014,1.521,0.5282,0.3101,0.2180,190.620,0.540718,1,1,1,1,20,18,100,0.000852,0.000342,0.760565,68.076,10.673,88.486,98.679,0.067527,0.653467,0.055796,0.019000,0.251926,56.554,43.446
78,-1,6,1,-1,-1,276065.000,276166.000,276664.984,99.984,3.000,3.008,1.511,0.5236,0.3088,0.2148,190.620,0.540812,1,1,1,1,20,18,100,0.001049,0.000522,0.758074,66.499,11.715,88.348,99.372,0.067682,0.652770,0.052378,0.014762,0.251454,56.545,43.455
